temporada,sitio_type,sitio_id,hora,NDVI,dia,BI,ACI,cantos,Luz,Temp
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,5,NA,1387.99742,NA,0,23.21
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,6,1.554638828,1402.817454,0,0,22.48
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,7,7.066082112,1476.548603,0,0,24.15
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,8,4.320407393,1589.69516,0,0,21.66
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,9,7.956720494,1399.711185,0,0,22.09
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,10,5.598643223,1363.762988,0,0,22.22
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,11,5.918315019,NA,0,0,22.35
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,12,5.850312481,1388.151635,0,0,21.79
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,13,6.061154663,1402.684619,0,0,22.39
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,14,6.968456318,2451.326505,0,0,23.94
1-june-july,Barranca,Barranca 1,05:00:00,0.317215651,15,6.322249965,1540.71225,0,0,22.56
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,1,6.474219386,1505.236705,0,0,22.73
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,2,7.531902569,1403.533299,0,0,21.75
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,3,10.27016639,1404.780313,2,0,22.26
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,4,7.415186882,1397.919618,0,0,24.19
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,5,NA,1378.065391,NA,0,23.16
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,6,1.489918737,1393.900964,0,0,22.48
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,7,7.204432884,1561.570836,0,0,24.06
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,8,4.629068147,1589.336796,0,0,21.58
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,9,7.558609647,1405.868695,0,0,22.18
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,10,5.38874131,1420.840423,0,0,22.22
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,11,5.371701188,NA,0,0,22.31
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,12,5.259380349,1381.876294,0,0,21.75
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,13,5.64891231,1409.081024,0,0,22.35
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,14,6.473154101,2102.887721,0,0,23.98
1-june-july,Barranca,Barranca 1,05:05:00,0.317215651,15,5.342215468,1528.301797,0,0,22.52
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,1,6.634772062,1514.02275,0,0,22.69
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,2,7.969361041,1380.880261,1,0,21.79
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,3,14.67610699,1403.464782,28,0,22.22
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,4,7.812127129,1389.654175,1,0,24.11
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,5,NA,1384.088496,NA,0,23.21
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,6,1.968639632,1402.189645,0,0,22.48
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,7,7.468832478,1477.337324,0,0,24.06
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,8,4.30765723,1580.9564,0,0,21.62
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,9,7.655191196,1377.598882,0,0,22.13
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,10,10.56073741,1418.430302,9,0,22.26
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,11,5.196390191,NA,0,0,22.31
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,12,5.063121293,1381.23442,0,0,21.66
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,13,5.780260191,1422.695485,0,0,22.35
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,14,6.650827783,2320.698134,0,0,23.98
1-june-july,Barranca,Barranca 1,05:10:00,0.317215651,15,10.1692455,1535.108129,0,0,22.56
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,1,6.778453812,1549.277437,0,0,22.82
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,2,15.3031394,1394.103102,0,0,21.66
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,3,13.99431857,1421.399815,2,0,22.18
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,4,9.635934955,1416.411425,0,0,24.02
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,5,NA,1406.720279,NA,0,23.21
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,6,1.383137077,1408.540037,0,0,22.43
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,7,8.219379954,1450.06964,6,0,24.02
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,8,5.005655258,1539.224516,0,0,21.83
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,9,7.359828904,1418.647037,0,0,22.18
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,10,10.73804581,1436.364872,8,0,22.22
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,11,6.090514599,NA,0,0,22.22
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,12,5.474342975,1381.223263,0,0,21.66
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,13,12.81820648,1406.124275,8,0,22.22
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,14,6.438320414,2226.731192,1,0,24.02
1-june-july,Barranca,Barranca 1,05:15:00,0.317215651,15,5.522889206,1513.077415,0,0,22.56
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,1,7.368725737,1465.818437,0,0,22.91
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,2,13.39503763,1399.596063,0,0,21.7
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,3,11.05394529,1419.258028,0,0,22.13
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,4,10.58108717,1407.417375,6,0,24.06
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,5,NA,1485.227068,NA,0,23.25
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,6,1.840171447,1400.644626,0,0,22.48
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,7,13.35284478,1551.278075,3,0,24.02
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,8,3.870094835,1520.53176,0,0,21.92
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,9,12.29128748,1414.607698,6,0,22.13
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,10,9.127638817,1423.865604,5,0,22.22
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,11,7.182749629,NA,0,0,22.22
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,12,6.035385859,1377.515661,2,0,21.7
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,13,11.62514856,1403.089123,10,0,22.13
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,14,10.49814828,2627.335709,0,0,23.89
1-june-july,Barranca,Barranca 1,05:20:00,0.317215651,15,5.939127849,1473.340865,0,0,22.56
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,1,6.846197846,1501.92836,0,0,22.78
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,2,15.62750017,1394.937229,7,0,21.66
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,3,9.238574046,1402.135446,0,0,22.09
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,4,8.224027989,1456.888085,1,0,24.02
